humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 01 A 1,W2AA01A1,AA,1,A,1,5,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 01 B 1,W2AA01B1,AA,1,B,1,6,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 01 C 1,W2AA01C1,AA,1,C,1,7,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 01 D 1,W2AA01D1,AA,1,D,1,8,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 02 A 1,W2AA02A1,AA,2,A,1,6,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 02 B 1,W2AA02B1,AA,2,B,1,7,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 02 C 1,W2AA02C1,AA,2,C,1,8,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 02 D 1,W2AA02D1,AA,2,D,1,9,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 03 A 1,W2AA03A1,AA,3,A,1,7,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 03 B 1,W2AA03B1,AA,3,B,1,8,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 03 C 1,W2AA03C1,AA,3,C,1,9,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 03 D 1,W2AA03D1,AA,3,D,1,10,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 04 A 1,W2AA04A1,AA,4,A,1,8,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 04 B 1,W2AA04B1,AA,4,B,1,9,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 04 C 1,W2AA04C1,AA,4,C,1,10,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 04 D 1,W2AA04D1,AA,4,D,1,11,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 05 A 1,W2AA05A1,AA,5,A,1,9,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 05 B 1,W2AA05B1,AA,5,B,1,10,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 05 C 1,W2AA05C1,AA,5,C,1,11,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 05 D 1,W2AA05D1,AA,5,D,1,12,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 06 A 1,W2AA06A1,AA,6,A,1,10,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 06 B 1,W2AA06B1,AA,6,B,1,11,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 06 C 1,W2AA06C1,AA,6,C,1,12,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 06 D 1,W2AA06D1,AA,6,D,1,13,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 07 A 1,W2AA07A1,AA,7,A,1,11,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 07 B 1,W2AA07B1,AA,7,B,1,12,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 07 C 1,W2AA07C1,AA,7,C,1,13,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 07 D 1,W2AA07D1,AA,7,D,1,14,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 08 A 1,W2AA08A1,AA,8,A,1,12,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 08 B 1,W2AA08B1,AA,8,B,1,13,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 08 C 1,W2AA08C1,AA,8,C,1,14,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 08 D 1,W2AA08D1,AA,8,D,1,15,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 09 A 1,W2AA09A1,AA,9,A,1,13,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 09 B 1,W2AA09B1,AA,9,B,1,14,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 09 C 1,W2AA09C1,AA,9,C,1,15,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 09 D 1,W2AA09D1,AA,9,D,1,16,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 10 A 1,W2AA10A1,AA,10,A,1,14,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 10 B 1,W2AA10B1,AA,10,B,1,15,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 10 C 1,W2AA10C1,AA,10,C,1,16,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 10 D 1,W2AA10D1,AA,10,D,1,17,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 11 A 1,W2AA11A1,AA,11,A,1,15,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 11 B 1,W2AA11B1,AA,11,B,1,16,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 11 C 1,W2AA11C1,AA,11,C,1,17,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 11 D 1,W2AA11D1,AA,11,D,1,18,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 12 A 1,W2AA12A1,AA,12,A,1,16,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 12 B 1,W2AA12B1,AA,12,B,1,17,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 12 C 1,W2AA12C1,AA,12,C,1,18,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 12 D 1,W2AA12D1,AA,12,D,1,19,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 13 A 1,W2AA13A1,AA,13,A,1,17,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 13 B 1,W2AA13B1,AA,13,B,1,18,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 13 C 1,W2AA13C1,AA,13,C,1,19,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 13 D 1,W2AA13D1,AA,13,D,1,20,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 14 A 1,W2AA14A1,AA,14,A,1,18,C:\Users\ironman\Desktop\svgtopng\A1.png
